infobox_type	proposed_category	count	was_included	include_in_future
new_york_city_subway_station/ridership	place	448	0	0
wrc_driver	other	447	1	0
new_york_city_subway_station/ridership/rank	place	446	0	0
religious_group	concepts	441	1	0
forest	other	440	0	0
college_basketball_team	place	440	0	0
tennis_circuit_season	other	438	0	0
legislative_session	other	435	0	0
water_polo_biography	person	434	1	0
court	other	433	0	0
doctor_who_episode	person	432	0	0
cheese	other	430	0	0
atp_challenger_tournament	other	430	0	0
cpu	other	429	0	0
winery	business	429	0	0
tram_network	other	428	0	0
number	other	426	0	0
rocket	artifact	424	0	0
political_youth_organization	pol_mil_organization	424	1	0
pharaoh	person	417	1	0
biodatabase	other	415	0	0
biathlete	person	414	1	0
rugby_sevens	other	412	0	0
dog_breed	other	411	0	0
indoor_american_football_team	other	411	0	0
basketball_club_season	other	410	0	0
urban_feature	other	409	1	0
top_level_domain	other	408	0	0
election_campaign	event	408	1	1
scottish_island	place	407	0	0
project	other	405	0	0
intangible_heritage	other	404	1	0
rowing_club	other	402	0	0
universiade_event	other	402	0	0
all-ireland_hurling	other	402	0	0
world_games_event	other	402	0	0
hereditary_title	other	401	1	0
adult_biography	person	401	1	0
residential_college	place	400	0	0
comics_story_arc	other	400	0	0
single	other	397	0	0
song_contest	other	396	0	0
computer	artifact	395	0	0
product	other	394	1	0
swimming_meet	other	394	0	0
administration	other	391	1	1
folk_tale	other	389	0	0
comics_organization	pol_mil_organization	384	0	0
squash_championship	other	384	0	0
nebula	other	382	0	0
pro_hockey_team	other	381	0	0
laboratory	other	380	0	0
religion	concepts	379	1	0
computing_device	other	378	0	0
prime_minister	person	378	1	0
uk_bus	other	378	0	0
cbb_team	other	377	0	0
double_wintersport_world_cup	other	376	0	0
station/header_korail	place	376	0	0
given_name2	other	374	0	0
martial_art	concepts	371	0	0
college_football_team	place	371	0	0
afl_club_season	other	371	0	0
bus_company	business	370	1	0
egyptian_dignitary	other	370	1	0
cricket_tournament_main	other	369	1	0
station/header_sms	place	369	0	0
occupation	other	368	1	0
national_hockey_team	other	367	0	0
mythical_creature	other	363	1	0
first_nation	pol_mil_organization	362	1	0
ncaa_conference_tournament	other	361	0	0
national_handball_team	other	361	0	0
pba_season	other	361	0	0
tribe	pol_mil_organization	358	1	0
flood	event	358	1	0
factory	other	354	1	0
record_charts	other	354	0	0
unicode_block	other	353	0	0
american_football_team	other	353	0	0
hurricane_season	event	352	0	0
racecourse	other	348	0	0
cardinal_styles	other	346	1	0
