infobox_type	proposed_category	count	was_included	include_in_future
national_sports_federations	other	50	0	0
law_firm	business	50	0	0
seamount	other	50	0	0
dog_breed	other	50	0	0
unicode_block	other	50	0	0
darts_team	other	50	0	0
uk_constituency	pol_mil_organization	50	0	0
nfl_player	person	49	0	0
laboratory	other	49	0	0
egyptian_dignitary	other	49	0	0
actress	person	49	0	0
gp2_round_report	other	49	0	0
observatory	other	48	1	0
tennis_player_season	other	48	0	0
programming_language	concepts	48	0	0
pier	other	48	1	0
basketball_final	other	48	0	0
pba_season	other	48	0	0
oil_refinery	other	47	0	0
identity_document	other	47	0	0
bodybuilder	person	47	1	0
rugby_league_international_tournament	other	47	0	0
bio	other	47	1	0
vg	other	46	0	0
arabic_name	other	46	1	0
brewery	business	46	0	0
medical_intervention	other	46	0	0
astronomical_event	other	46	0	0
victorian_football_season	other	46	0	0
fire_department	other	46	0	0
footballer	person	46	0	0
equestrian	person	45	0	0
cheese	other	45	0	0
color	other	45	0	0
moscow_city_duma_constituency	pol_mil_organization	45	0	0
spacecraft_class	artifact	44	0	0
actor_awards	person	44	1	0
weather_event/imd	event	44	0	0
gaelic_games_biography	person	44	0	0
national_hockey_team	other	44	0	0
clothing_type	other	44	0	0
motorsport_season	other	44	0	0
rabbi	other	44	0	0
fault	other	44	0	0
u.s._state_legislation	other	43	0	0
banknote	artifact	43	0	0
australian_rules_football_match	other	43	0	0
ship/service_record	artifact	43	0	0
ncaabasketballsinglegame	other	43	0	0
ncaa_basketball_rankings	other	43	0	0
pageant	other	43	0	0
ncaa_sports_season	other	43	0	0
am	other	42	1	0
government	pol_mil_organization	42	0	0
doctor_who_episode	person	42	0	0
mpbl_season	other	42	0	0
uk_bus	other	41	0	0
sport	other	41	0	0
gaa_championship_main	other	41	0	0
cycling_path	other	41	0	0
czech_senate_district	other	41	0	0
examination	other	41	0	0
national_military	pol_mil_organization	40	0	0
aerial_lift_line	other	40	0	0
italian_comune	place	40	0	0
summit	other	40	0	0
owl_season	other	40	0	0
worldscouting	other	40	0	0
power_transmission_line	other	40	0	0
college_basketball_team	place	40	0	0
weather_event/winter_storm	event	40	0	0
tram_network	other	40	0	0
number	other	40	0	0
college_football_team	place	39	0	0
file_format	concepts	39	0	0
handball_league_season	other	39	0	0
choir	other	39	0	0
protein_family	other	39	0	0
rugby_club_season	other	39	0	0
caste	other	39	0	0
state_representative	other	39	1	0
historical_era	historical_period	39	0	0
photographic_lens	other	39	0	0
world_rx_event_report	other	39	0	0
xc_championships	other	38	0	0
currency	other	38	0	0
law	other	38	0	0
ph_collegiate_finals	other	38	0	0
diagnostic	other	38	0	0
football_derby	other	38	0	0
lego_theme	other	38	0	0
eu_legislation	other	38	0	0
pba_season2	other	38	0	0
hockey_team	other	37	0	0
squash_tournament	other	37	0	0
mandir	other	37	0	0
enzyme	other	37	0	0
wec_race	other	37	0	0
parliamentary_group	other	37	0	0
concentration_camp	other	37	0	0
television_awards	artifact	37	0	0
aviator	person	36	1	0
executive_government	pol_mil_organization	36	0	0
winery	business	36	0	0
japanese_clan	pol_mil_organization	36	0	0
cryptocurrency	other	36	1	0
property_development	other	36	0	0
ncaa_basketball_tournament	other	36	0	0
floorball_club	other	36	0	0
firearm_cartridge	artifact	36	0	0
settlement_al	place	35	0	0
rocket_engine	other	35	0	0
rugby_league_tour	other	35	0	0
indic_letter	other	35	0	0
station/header_cta	place	35	0	0
swimming_pool	other	34	0	0
kommune	other	34	0	0
gridiron_football_person	person	34	0	0
ncaa_ice_hockey_tournament	other	34	0	0
yacht_club	other	34	0	0
international_softball_tournament	other	34	0	0
holocaust_event	event	34	0	0
rocket_launch	other	34	0	0
sports_match	other	34	0	0
research_institute	other	33	0	0
professional_wrestling_team	other	33	0	0
farm	other	33	0	0
united_states_district_court_case	other	33	0	0
water_park	place	33	0	0
ncaa_football_rankings	other	33	0	0
archaeological_site	place	33	0	0
non-profit	other	32	0	0
advertising	other	32	0	0
martial_art	concepts	32	0	0
college_volleyball_team	place	32	0	0
convention_center	other	32	0	0
individual_strongman_competition	other	32	0	0
ice_hockey_game	other	32	0	0
online_service	other	32	0	0
nfl_single_game	other	32	0	0
president	person	31	1	0
sporting_event_organization	pol_mil_organization	31	0	0
wrestling_promotion	other	31	0	0
film_award	other	31	0	0
constitution	other	31	0	0
housing_project	other	31	0	0
proto-language	concepts	31	0	0
year_in_combat_sports	other	31	0	0
sculpture	artifact	31	0	0
rugby_football_league_challenge_cup	other	31	0	0
album/color	artifact	31	0	0
eruption	event	31	0	0
urban_development_project	other	31	0	0
geopolitical_organization	pol_mil_organization	31	1	0
synthesizer	artifact	31	0	0
ski_jumper	other	31	0	0
scottish_distillery	other	31	0	0
korean_television_name	artifact	31	0	0
museum/wikidata	place	30	0	0
pool_tournament	other	30	0	0
radio_network	other	30	0	0
castle	place	30	0	0
law_enforcement_unit	pol_mil_organization	30	0	0
people	other	30	1	0
electronic_payment	other	30	0	0
curling_competition	other	30	0	0
officeholder/office	person	30	1	0
state_highway_system	other	29	0	0
skyline	other	29	0	0
peninsulas	other	29	0	0
water_transit	other	29	0	0
